NAME,CONTACT NO,RATING,RATING COUNT,ADDRESS,LOCATION,CATEGORY
Kashmir House,+(91)4024744931,4.1,824,"House No 15-7-419, Kashimir House Street, Begum Bazar, Hyderabad - 500012, Near Post Office",Hyderabad,Grocery Stores
Ushodaya Super Market,+(91)04027136683,4.0,770,"Plot No 213, Bandari Bhuchireddy Legacy, Nagaram, Hyderabad - 500083, Opposite Shivalayam Temple",Hyderabad,Grocery Stores
Heritage Fresh - Nagole,+(91)9391103331,3.6,735,"Nagole Road, Mohan Nagar, Samathapuri, Kothapet, Hyderabad - 500035",Hyderabad,Grocery Stores
Heritage Fresh,+(91)04044249590,3.5,712,"Pjr Enclave, Road, Number 6, Madhavapuri Hills, Pjr Layout, Chanda Nagar, Hyderabad - 500050",Hyderabad,Grocery Stores
Heritage Fresh,+(91)04044249590,3.7,640,"Ground Floor, Plot No. 334,Triveni Nagar, Meerpet Village,Balapur Cross Roads,, Saroor Nagar Mandal,, Meerpet, Hyderabad - 500079",Hyderabad,Grocery Stores
Kisan Bazar,+(91)9490115349,3.9,628,"Shop No 1, Ayyappa Society Road, Madhapur, Hyderabad - 500081, Opposite Ushodaya Residency",Hyderabad,Grocery Stores
Munnalal Dawasaz,+(91)4024601367,4.2,624,"House No 15-5-55, Afzal Gunj, Hyderabad - 500012, Opposite Grand Hotel",Hyderabad,Grocery Stores
Heritage Fresh,+(91)04044249590,3.8,604,"Shop No 1-8-142 & 143, P G Road, Sindhi Colony-secunderabad, Hyderabad - 500003, Beside Icici Bank",Hyderabad,Grocery Stores
Heritage Fresh,+(91)9391622946,3.7,593,"Siddamshetty's Hima Sai Heights, Street No 6, Gandhi Nagar, Hyderabad - 500020, Near Jawaharnagar, Near Andhra Cafe",Hyderabad,Grocery Stores
Heritage Fresh,+(91)9394163563,3.9,592,"121210/A, Gilbert Plaza, Main Road, Santosh Nagar, Hyderabad - 500059, Near I.S. Sadan X Road",Hyderabad,Grocery Stores
Heritage Fresh,+(91)9396712275,3.9,574,"Madhapur Road, Jubilee Hills, Hyderabad - 500033, Opp to Kalanjali",Hyderabad,Grocery Stores
Vijaya Durga Grand Bazar,+(91)9030058583,4.0,560,"Door No 23-54/2b, Rallaguda Road, Shamshabad, Rangareddy - 501218, Beside Vijaya Bank",Hyderabad,Grocery Stores
Heritage Fresh,+(91)9396665490,3.8,552,"Ground Floor, Pragathi Building, Road No 14, Banjara Hills, Hyderabad - 500034, Near Asha Hospital",Hyderabad,Grocery Stores
Heritage Fresh,+(91)9347706937,3.7,502,"Baigs Taurus Pride, Lakdi Ka Pool-khairatabad, Hyderabad - 500004, Opposite Oyo Town House, Pearl Regency Hotel, Red Hills",Hyderabad,Grocery Stores
Vishal Mart,+(91)9440401789,3.8,462,"Door No 1837, Inner Ring Road, Uppal, Hyderabad - 500039, Prashanth Nagar",Hyderabad,Grocery Stores
Kmart Super Market,+(91)9030996060,3.8,451,"Door No 1-80/1/1, Kmart Complex, Narsinghi Junction, Narsingi, Hyderabad - 500089, Beside Axis Atm",Hyderabad,Grocery Stores
Heritage Fresh,+(91)04023000219,3.5,441,"Plot No 2, Survey No 91, Ground Floor, Main Road, Gachibowli, Hyderabad - 500032, Telecom Employees Co-Operative Housing Society, Telecom Colony",Hyderabad,Grocery Stores
Dalias,+(91)4024606726,4.2,429,"House No 14-7-371/17, Begum Bazar, Hyderabad - 500012, Opposite Raja Bahadur Building",Hyderabad,Grocery Stores
Heritage Fresh,,3.9,414,"Ground Floor, Barkatpura, Hyderabad - 500027, Municipal No 34469",Hyderabad,Grocery Stores
Masqati Super Market,+(91)4024525878,3.9,402,"Door No 22-5-657, Etebar Chowk, Charminar, Hyderabad - 500002, Oppsite to Safeena Bakery",Hyderabad,Grocery Stores
Rationwala Super Market,+(91)4066688000,3.8,389,"Door No 7-1-70/71, Dharam Karam Road, Ameerpet, Hyderabad - 500016, Opposite Enjoy Bakery",Hyderabad,Grocery Stores
Reliance Fresh grocery stor..,+(91)9177716340,3.5,377,"Sun City, Hydershah Kota, Hyder Shah Kote, Hyderabad - 500091",Hyderabad,Grocery Stores
24 Mantra Organic Store,+(91)9959022742,4.0,365,"Plot  No 8-2-696/697, Road No 12, Banjara Hills, Hyderabad - 500034, Opposite Hafele Design Studio",Hyderabad,Grocery Stores
Daman Organic Living,+(91)7032033366,4.2,350,"Door No 8-2-684/A, Ground Floor, Bhavyas Fantastica, Road No 12, Banjara Hills, Hyderabad - 500034, Opposite Honda Showroom",Hyderabad,Grocery Stores
Usha Super Market,+(91)8977414278,3.1,344,"Gokul sapphire, Nizampet Road, Nizampet, Hyderabad - 500090, Opposite Kolan Narayana gardens",Hyderabad,Grocery Stores
Warangal Rice Stores,+(91)04027756193,4.1,342,"Plot No 9, Shop 4  5 6, Bowenpally, Hyderabad - 500011, Near Brig Bapuji Nagar, Opposite Lot Smart Mobile Shoppe",Hyderabad,Grocery Stores
More For You,+(91)9705807166,4.0,339,"Plot no 81,Phase 1, Saket, Hyderabad - 500062",Hyderabad,Grocery Stores
