NAME,CONTACT NO,RATING,RATING COUNT,ADDRESS,LOCATION,CATEGORY
Grahak Bazar,+(91)2027659510,4.0,287,"Sector No 25 Plot No 3, Nigdi, Pune - 411044, Near Bel Chowk Pradhikaran",Pune,Grocery Stores
Platinum Super Market,+(91)8380063618,4.0,287,"Sno.32/1a SAI Prasad Apartment, Pancard Club Road, Baner, Pune - 411045, Opposite Shivnai Society",Pune,Grocery Stores
Rashan Cart,+(91)9689845782,3.8,279,"Shop.no.1,2,3, Shivkrupa Building, Nande Road, Sus, Pune - 411021, Thaksen Nagar",Pune,Grocery Stores
Godrej Natures Basket,+(91)02026806666,4.0,276,"Shop No. 6, Wanowrie, Pune - 411040, Near North Block, Jagtap Chowk",Pune,Grocery Stores
Hadapsar Bazar,+(91)9975044460,3.8,260,"S No 879 880, Hadapsar, Pune - 411028, Gandhi Chowk Hadapsar",Pune,Grocery Stores
Vijay Sales Corporation,+(91)2024275045,4.0,256,"shop no-323, Market Yard, Pune - 411037, near-market",Pune,Grocery Stores
More For You,+(91)2065107222,3.7,242,"Rahatani Road, Pimple Saudagar, Pune - 411027",Pune,Grocery Stores
Nikhil Grocery World,,4.1,227,"Alandi Devachi, Pune - 412105, Opposite Mit College Nagar Parishad School No 3, Dehu Phata",Pune,Grocery Stores
T-Mart,+(91)2027414141,4.0,224,"Plot No 142, Pimpri Colony, Pune - 411017, Shagun Chowk, Near Wable Hospital",Pune,Grocery Stores
Uttam Super Store,+(91)7276456613,4.0,194,"Shop No 1 , Kas Bhavan, Baner Road, Pashan, Pune - 411021, Near  Atharshri Apartment",Pune,Grocery Stores
Daily Needs,+(91)8888797939,3.9,189,"Se No. 56/4, Old Mumbai - Pune Hwy, Tathawade, Bhumkar Chowk, Pune - 411057",Pune,Grocery Stores
Om Mangal Mart,+(91)9881737344,4.0,178,"Rahul Park,Shop No 7 to 12, Atul Nagar, Warje, Pune - 411029, Nr Vinaya Hospital",Pune,Grocery Stores
DNR Shopping Pvt Ltd,+(91)2065107864,3.7,175,"Bomby Pune Highway, Kasarwadi, Pune - 411034, Near Kalasagar Hotel & Car World",Pune,Grocery Stores
