NAME,CONTACT NO,RATING,RATING COUNT,ADDRESS,LOCATION,CATEGORY
Om Shakthi E-shopping,+(91)9843690425,4.8,14,"Om Shakthi E Shopping, Vairichettipalayam P.O, Thuraiyur T.k, Main Road, Vyrichettipalayam, Trichy - 621012",Trichy,Grocery Stores
Mariyam Store,+(91)9965654147,4.4,15,"Shop No. 172/A1, Oil Mill, Tiruchirappalli, Railway Road, Pappakurichi Kattur, Trichy - 620019",Trichy,Grocery Stores
Sri Nidhi Malikai Katai,+(91)9150316914,3.5,29,"Venkadathanur, Trichy - 621002",Trichy,Grocery Stores
Nandini Store,+(91)9791787482,3.5,14,"Tiruchirappalli, Thirupparaithurai Road, Thirupparaithurai Road& Karur Main Road, Tirupparaithurai, Trichy - 639115",Trichy,Grocery Stores
Gv Store,+(91)8525069345,4.5,13,"Hidayath Nagar, Anna Nagar, Tennur, Tiruchirappalli, Trichy - 620026",Trichy,Grocery Stores
Seeni Departmental Store,+(91)9524696981,4.0,14,"Kavalkarapatty, Trichy - 621310",Trichy,Grocery Stores
Jayamurugan Stores,+(91)9894367085,4.8,15,"104, Pushpak Nagar, Tiruchirappalli, Ammamandapam Road, Srirangam, Trichy - 620006",Trichy,Grocery Stores
Chettiyar Maligai,+(91)4312591354,4.6,12,"Koothur, Tiruchirappalli, Trichy - 621216",Trichy,Grocery Stores
Aruna Super Market,+(91)9787363456,4.5,12,"No 1/2,MRV Complex, Ariyalur Road, Lalgudi, Trichy - 621601, Near Icic Bank,LIC",Trichy,Grocery Stores
Kumudham Departmental Store,+(91)4312457447,4.3,12,"No 70, Meter Factory Road, Tiruchirappalli Ho, Trichy - 620001, Sundar Nagar",Trichy,Grocery Stores
Jeyakumar Stores,+(91)9524247490,4.3,12,"Mela Kalkandar Kottai, Tiruchirappalli, Mk Kottai Road, Melakalkandarkottai, Trichy - 620011",Trichy,Grocery Stores
G S Maligai,+(91)9865384799,3.5,12,"13/B, Ranga Nagar, Uyyakonda T Malai, Tiruchirappalli, Vayaloor Road, Trichy - 620102",Trichy,Grocery Stores
Kashika Nature Store,+(91)9994034869,3.5,12,"Thuppaki Nagar, Ordnance Estate-Tr, Trichy - 620016",Trichy,Grocery Stores
Patanjali Aarogya Kendra,+(91)9920798102,4.3,11,"34/2 Sanndhi Veedi, Patanjali Arogya Kendra, Thiruvanaikoil, Trichy - 620005",Trichy,Grocery Stores
Manikandan Maligai Stall,+(91)9790641507,4.1,11,"Vairichettipalayam, Vyrichettipalayam, Trichy - 621012, Near By Temple",Trichy,Grocery Stores
Dhanalakshmi Supermarket,+(91)9865825009,3.4,11,"Uppiliapuram, Trichy - 621011",Trichy,Grocery Stores
Jeyalaxmi Store,+(91)8925897722,3.5,11,"7, Gandhi Street, Vivekananda Nagar Vivekananda Nagar, Melakalkandarkottai, Trichy - 620011",Trichy,Grocery Stores
Shanthi Store,+(91)4312766835,5.0,10,"C-12, 3rd Cross, West Thillai Nagar, Tiruchirappalli, Thillai Nagar, Trichy - 620018",Trichy,Grocery Stores
Kavitha Malligai,+(91)7604833372,5.0,10,"Mettupalayam Tattayyangarpettai Road, Thathiengarpet, Trichy - 621214",Trichy,Grocery Stores
Ameer Store,+(91)7010002873,4.8,10,"Tiruchirapalli, Kaja Pedai Main Road, Bheema Nagar, Trichy - 620001",Trichy,Grocery Stores
Siva Trade,+(91)9965234661,4.8,10,"56/4, , Singarathope, Tharanallur, Tiruchirappalli, Jaffer Shah St & Market Road, West Chintamani, Trichy - 620002",Trichy,Grocery Stores
Selvakumar Stores,+(91)04312421061,4.5,10,"Nehru Nagar First St, Kajamalai, Tiruchirappalli, Khaja Nagar, Trichy - 620023, Oppo to Saleem Briyani",Trichy,Grocery Stores
Janaki Store,+(91)9965873960,4.2,10,"Kannadasan Street, Thennur, Tiruchirappalli, Tennur, Trichy - 620017",Trichy,Grocery Stores
Abi Stores,+(91)8220712527,4.2,10,"Soorinam Complex, Ramakrishna Nagar, Kallukuzhi, Tiruchirappalli, Elupur Road, Tiruchirappalli Cantt, Trichy - 620001",Trichy,Grocery Stores
Arunachalam Malligai,+(91)9659190856,4.2,10,"Anushya Building, Gandhi Nagar, Thiruvanai Kovil, Tiruchirappalli, Thiruvanaikoil, Trichy - 620005",Trichy,Grocery Stores
Sri Saranya Store,+(91)4312434609,4.1,12,"Shop No. 62, Ramana Appartment, Tiruchirappalli, Railway Station Road, Srirangam, Trichy - 620006",Trichy,Grocery Stores
Sri Bharathi Stores,+(91)4312730293,3.9,12,"1d, Melachinthamani, Tiruchirappalli, Old Karur Road, Trichy - 620002",Trichy,Grocery Stores
R R Maligai Store,+(91)7010406617,3.4,11,"Nagartharanallur, Vasantha Nagar, Tharanallur, Tiruchirappalli, Trichy - 620002",Trichy,Grocery Stores
Noor Traders,+(91)4312707686,3.4,13,"Tharanallur, Tiruchirappalli, Tanjore Main Road, Palakarai, Trichy - 620008",Trichy,Grocery Stores
Pandiyan Maligai,+(91)9578671064,3.6,11,"Kavi Bharathi Nagar, Tiruchirappalli, K K Nagar, Trichy - 620021",Trichy,Grocery Stores
Kurinji Shopping,+(91)4312310568,5.0,9,"Hanifa Colony,, Sangillyandapuram, Jamal Mohamed College, Trichy - 620020, Near TVS Tollgate",Trichy,Grocery Stores
Ponraj Maligai,+(91)9944137688,4.3,10,"Gandhi Nagar, Subramaniyapuram, Tiruchirappalli, Trichy - 620020",Trichy,Grocery Stores
Durai Maligai,+(91)7373818685,4.4,18,"Nh81, Valadi, Trichy - 621218",Trichy,Grocery Stores
M S Oil Mills & Dal Mills,+(91)4312707413,4.3,12,"Shop No. 17/A, Kaliyamman Kovil Street, Chinthamani, Tiruchirappalli, Trichy - 620002",Trichy,Grocery Stores
Nasiba Store,+(91)9789333219,5.0,8,"Quaid E Millath Nagar, Tiruchirappalli, Palakarai, Trichy - 620008",Trichy,Grocery Stores
Abhirami Stores,+(91)8220783407,5.0,8,"No. 61, Panchavarnareet, Woraiyur, Tiruchirappalli, Panchavarna Swamy Temple Street, Woriyur, Trichy - 620003",Trichy,Grocery Stores
Nellai Pandian Store,+(91)9942813032,5.0,8,"E Pudur, Tiruchirappalli, E Pattai Road, Edamalaipattipudur, Trichy - 620012",Trichy,Grocery Stores
Jaya Stores,+(91)4312459405,5.0,8,"Shop No. 8 B, Tiruchirappalli, Lic Colony Main Road, Lic Colony Main Road& Sathanur Main Road, K K Nagar, Trichy - 620021",Trichy,Grocery Stores
S.K Maligai,+(91)9944125400,5.0,10,"86a, Mannachanallur, Tiruchirappalli, Lf Road, Manachanallur, Trichy - 621005",Trichy,Grocery Stores
Tamil Selvi Maligai,+(91)9994379753,4.4,11,"No 1, Ponmalai Patti, Tiruchirappalli, Ponmalai, Trichy - 620004",Trichy,Grocery Stores
Akbar Stores,+(91)9443303369,4.6,9,"King Colony, Kallakudi, Trichy - 621651",Trichy,Grocery Stores
Shri Amman Store,+(91)9943659977,4.0,11,"Nawab Thottam, 5th Cross, Kaveri Nagar,Uraiyoor, Tiruchirappalli, Trichy - 620003",Trichy,Grocery Stores
Mariappan Stores,+(91)9042901699,4.0,8,"Shop No. 25, Kooni Bazaar, Beema Bazar, Tiruchirappalli, Tiruchirappalli Townhall, Trichy - 620001",Trichy,Grocery Stores
Sri vasavi stores,+(91)9443531411,3.9,8,"Thuvarankurichi, Trichy - 621314",Trichy,Grocery Stores
Lakshmi Stores,+(91)9443780016,3.5,8,"Vellala St, Anna Nagar, Tiruchirappalli, Tennur, Trichy - 620017, Near By Medical",Trichy,Grocery Stores
Selva & Siva Store,+(91)8526029979,3.5,8,"Malvai, Trichy - 621652",Trichy,Grocery Stores
Sri Laksmi Stores,+(91)9500470813,4.2,8,"Thirumarudhur, Melavalady, Trichy - 621218",Trichy,Grocery Stores
Sivasakthi Store,+(91)4312772221,3.8,7,"Shop No. 24, L.S. Complex, Raman Nagar , Ramalinga Nagar , Tiruchirappalli, Puthur, Trichy - 620017",Trichy,Grocery Stores
Rma Store. I I M Campus. Tr..,+(91)8072511563,3.6,7,"Chinna, Suriyur, Trichy - 620025",Trichy,Grocery Stores
Wednesday Super Market Pala..,+(91)9597311833,3.5,7,"Palakurichy, Hostel, Trichy - 621308",Trichy,Grocery Stores
Vijaya Store,+(91)8754775588,2.2,7,"Nagar, Ponmalai Patti, Thiruvalarchipatti, Tiruchirappalli, Marg, Tiruchirappalli Airport, Trichy - 620007",Trichy,Grocery Stores
Sagaya Matha Rice Shop,+(91)9790240030,5.0,6,"No. 10, Arasamarastreet , Mela Pudhur, Tiruchirappalli, Mela Pudhur Road, Trichy - 620001",Trichy,Grocery Stores
Tntj Tennur Office,+(91)9698282091,5.0,6,"Anna Nagar, Thillai Nagar, Tiruchirappalli, Trichy - 620026",Trichy,Grocery Stores
Ragu Store,+(91)9894525877,5.0,6,"Shop No. 9, John Britto Complex, Punithan Arulanantham Kovil, Vani Kavalazaham, Tiruchirappalli, Subramaniapuram, Trichy - 620020",Trichy,Grocery Stores
Mahi Balan Store,+(91)9994740198,5.0,6,"Shop No. 50/B, Srinivasa Complex, Ranga Nagar, Tiruchirappalli, Sathanur Main Road, K K Nagar, Trichy - 620021",Trichy,Grocery Stores
Suresh Provisional Stores,+(91)9345310044,5.0,6,"Kannanur, Trichy - 621206",Trichy,Grocery Stores
Sri Nivasa Maligai,+(91)9943919480,4.6,8,"Shop No. 38, Subramaniyapuram, Indra Gandhi Nagar, Tiruchirappalli, Subramaniapuram, Trichy - 620020",Trichy,Grocery Stores
JMM Fancy & Stationery,,4.7,6,"No 31 E, Thiruvanaikoil, Trichy - 620005, Near Sannath",Trichy,Grocery Stores
Devaki Store,+(91)9944002765,4.7,6,"1/186b, Keezha Valadi(Po),Lalgudi Taluk, Tiruchirappalli, Main Road, Trichy - 621218",Trichy,Grocery Stores
