NAME,CONTACT NO,RATING,RATING COUNT,ADDRESS,LOCATION,CATEGORY
Maharaja Shopping,+(91)04422391828,4.0,193,"No.162, Bharatha Matha Street, Tambaram East, Chennai - 600059, Near Mosque",Chennai,Grocery Stores
Ambika Appalam Depot,+(91)4424996627,4.1,178,"#65, C P Ramaswamy Road, Abhiramapuram, Chennai - 600018, 4th Street",Chennai,Grocery Stores
Family Mart,+(91)4442118555,3.6,175,"No 66, Josier Street, Nungambakkam, Chennai - 600034, Near Thirumoorthy Nagar",Chennai,Grocery Stores
Heritage Fresh,+(91)4442606142,3.9,174,"No 10, Bazullah Road, T Nagar, Chennai - 600017, Opposite ICICI Bank",Chennai,Grocery Stores
Ayyanar Stores,+(91)4426214281,4.1,170,"No Y 20, 5th Avenue, Anna Nagar, Chennai - 600040, Opposite CSI School",Chennai,Grocery Stores
G R Department  Stores,+(91)4424401490,4.3,164,"New No 2  Old No 66, T K  Beach Road, Thiruvanmiyur, Chennai - 600041, Near Kovil Kulam & Pavani Medai",Chennai,Grocery Stores
Nikis Supermarket,+(91)4448554441,3.8,163,"No.14,Sindhu Salai, AVP Rajeshwari Avenue, Mugalivakkam, Chennai - 600125, Opp. Ponvidhrahshamam School",Chennai,Grocery Stores
Heritage Fresh,+(91)4444249590,4.0,160,"No 187, Royapettah High Road, Mylapore, Chennai - 600004, Opposite Raymond Showroom",Chennai,Grocery Stores
Kalpaviruksha Pazhamudir Ni..,+(91)04468888566,4.4,155,"No 55, Ormes Road, Kilpauk, Chennai - 600010, Near By Bain School",Chennai,Grocery Stores
New Bombay General Stores T..,+(91)4425384405,4.2,154,"Old No 171 New No 353, N S C Bose Road, Mint Street, Sowcarpet, Chennai - 600001, Near Chinnamman Koil",Chennai,Grocery Stores
Good Food Organic Big Bazza..,+(91)8056528837,4.1,154,"No.115, Gst Road, Tambaram Sanatorium, Chennai - 600047, Opp to Siddha College",Chennai,Grocery Stores
Marwa Supermarket,+(91)7358604830,4.3,151,"7/775, Thukampalayam Main Road, Perumbakkam, Chennai - 600100, Opposite to Amman Kovil",Chennai,Grocery Stores
Vijay Super Market,+(91)4428171838,3.9,145,"No 620/51, Mahalingapuram Main Road, Nungambakkam, Chennai - 600034, Near Em El Em Complex",Chennai,Grocery Stores
Home Basket,+(91)4424500858,3.9,143,"No . 305, Rajiv Gandhi Salai(OMR) Anna Street, Karapakkam, Chennai - 600097, Opp to HDFC Bank",Chennai,Grocery Stores
Easy & Fresh Super Market,+(91)4426860575,3.9,140,"No 250 Nesar Complex, Redhills Road, Ambattur, Chennai - 600053, Near Reliance Petrol Pump, Kallikuppam",Chennai,Grocery Stores
Amsu Stores,+(91)4424981234,4.1,137,"No.23, Madhavaperumal Koil Street, Mylapore, Chennai - 600004, Behind Chennai Citi Centre",Chennai,Grocery Stores
Padma Super Market,+(91)4426187075,3.9,137,"No 1227, 18th Main Road, Anna Nagar, Chennai - 600040",Chennai,Grocery Stores
Happy Shoppy,+(91)4424867585,3.9,135,"No 2, Sri Devi Garden Main Road, Valasaravakkam, Chennai - 600087, Near Friends Park Hotel",Chennai,Grocery Stores
Sri Lakshmi Store,+(91)9884458805,4.1,134,"7-A, Sai Nagar, Virugambakkam, Chennai - 600092, Opposite to Indian Bank",Chennai,Grocery Stores
Nuts N Spices,+(91)4428250443,4.1,132,"New No 167 Old No 131, Valluvar Kottam High Road, Nungambakkam, Chennai - 600034, Opposite Independence Day Park",Chennai,Grocery Stores
Ranjitham Stores,+(91)9710753305,4.0,131,"25,Gomathipuram, Thiruninravur, Thirunindravur, Chennai - 602024, Near EB Office",Chennai,Grocery Stores
Sm Stores,+(91)4423782379,4.2,130,"600095, Mmda Colony, Maduravoyal, Chennai - 600095",Chennai,Grocery Stores
