NAME,CONTACT NO,RATING,RATING COUNT,ADDRESS,LOCATION,CATEGORY
Ideal supermarket Stores,+(91)7598692969,3.9,107,"Selvapuram South, Coimbatore - 641001",Coimbatore,Grocery Stores
Dhool Mart Pn Pudhur,+(91)04224383939,3.8,70,"60 A, Pn Pudhur, Marudhamalai Main Road, Pappanaickenpudur, Coimbatore - 641041",Coimbatore,Grocery Stores
Shree Sharvam Store,+(91)8344949317,4.3,86,"No 2, K.G.S Garden, Thottipalayam Road, Chinniampalayam, Coimbatore - 641062, Near  South India West Coast Park, KGS Garden",Coimbatore,Grocery Stores
T Allwin Joseph Departmenta..,+(91)4222410666,4.2,76,"Shop No 4, Podanur Road, Podanur, Coimbatore - 641023, Near Railway Station",Coimbatore,Grocery Stores
Nellai Store,+(91)4222562901,4.1,84,"No 13 & 14, Avarampalayam Road, Peelamedu, Coimbatore - 641004, Near Psg College Of Technology",Coimbatore,Grocery Stores
Shree Lakshmi Store,+(91)9842399463,3.7,69,"654, Keeranatham Road, Saravanampatti, Coimbatore - 641035",Coimbatore,Grocery Stores
Pazhamudir Supermarket,+(91)4222214321,4.1,75,"Shop No 41 Pazhamudir Complex, Arts College Road, Coimbatore Central, Coimbatore - 641018, Near Coimbatore Central Near K G Theatre",Coimbatore,Grocery Stores
Cheran Departmental Store,+(91)8608741000,4.1,65,"87 /X3, Sakthy Road, Sarkarsamakulam, Coimbatore - 641107, Opp Bus Stand",Coimbatore,Grocery Stores
MRS Department Stores,+(91)4222654665,3.9,65,"No 275/4, Sakthi Main Road Ganeshapuram, Coimbatore Ho, Coimbatore - 641001, Kattampatti Po",Coimbatore,Grocery Stores
TV & Brothers,+(91)4222396327,4.2,70,"No 500, Rangai Gowder Street, Coimbatore Ho, Coimbatore - 641001",Coimbatore,Grocery Stores
Lakshmi Grocery Store,+(91)8056475757,4.2,53,"Kovai Mahalingapuram, Kallimadai, Vellalur Road, Coimbatore - 641023",Coimbatore,Grocery Stores
Samuthiram Departmental Sto..,+(91)9994466176,3.9,405,"Shop No:72/1, Police Quarters Road, Ganapathy, Coimbatore - 641006, Near By V.O.C.Nagar Bus Stop",Coimbatore,Grocery Stores
Mystore Log,+(91)8883270305,4.9,44,"19k1 Schoolstreet , Saravanampatty, Chinnavedampatty Road, Sivanandhapuram, Coimbatore - 641035",Coimbatore,Grocery Stores
Mataji General Stores,+(91)04222476318,4.3,40,"No 4, Mecrical Road, RS Puram Coimbatore, Coimbatore - 641002, Towards Rspuram Main Road",Coimbatore,Grocery Stores
J A Paramanantham & Bros,+(91)4222394242,4.8,34,"No 354, Rangai Gowder Street, Coimbatore Ho, Coimbatore - 641001",Coimbatore,Grocery Stores
Kotti Stores,+(91)4222245829,4.2,35,"Bharathiyar Road, Papanaickenpalayam, Coimbatore - 641037, Near By Lakshmi Mills",Coimbatore,Grocery Stores
Himalaya Stores,+(91)4222473408,3.9,33,"Poo Market, R.S. Puram, Mettupalayam Road, Mettupalayam Roadr.G.Street, RS Puram Coimbatore, Coimbatore - 641002",Coimbatore,Grocery Stores
Agaram Retail Stores,+(91)8124424447,2.8,30,"Sri Laxmi Nagar, Ganapathypudur, Sathy Road, Ganapathy, Coimbatore - 641006",Coimbatore,Grocery Stores
Nds Store,+(91)9442460104,4.5,29,"M210a Phase First Cut, Hudco Colony Phase Ii, Vellakinar Tnhb Colony, Vellakinar Village, Vellakinar, Coimbatore - 641029",Coimbatore,Grocery Stores
Raja Store,+(91)9790694635,4.1,30,"Door No. 1,, Ammasai Koonar  St,, Kuppakonanpudur, Coimbatore - 641038, Opp A1 Chips",Coimbatore,Grocery Stores
Abe Stores,+(91)9894513176,4.4,29,"7b, Meena Estate, Udayampalayam, Coimbatore - 641028",Coimbatore,Grocery Stores
Thara,+(91)4222346070,3.6,28,"306, Rajeshwari Nagar, Selvapuram, Coimbatore - 641026, Opposite Sivalaya Mahal",Coimbatore,Grocery Stores
