NAME,CONTACT NO,RATING,RATING COUNT,ADDRESS,LOCATION,CATEGORY
Mahavir Food Mart,+(91)9152461970,4.0,80,"Shop No A1/A2 Vibhavari Housing Society, N Datta Marg, Four Bunglows-andheri West, Mumbai - 400053, Near Good Sheperd Church",Gujarat,Grocery Stores
Joshi Khaughar,+(91)9152356515,5.0,4,"Shop No.5, Dunhill Castel Elvid Co-Operative Housing Society, Hanuman Road, Vile Parle East, Mumbai - 400057, Opposite ICICI Bank",Gujarat,Grocery Stores
Ashish Bharatiya Bazaar Apn..,+(91)9152769730,5.0,2,"Shop 2,Shreejidham Building, Edulji Road, Thane West, thane - 400601, Near Shimla Bar",Gujarat,Grocery Stores
Naeem Masala,+(91)9152524348,3.3,8,"Shop No 23 and 24, Mirza Ghalib Market, Matka Gali, Null Bazar, Mumbai - 400003, Near Gol Deval Temple",Gujarat,Grocery Stores
Natural Food Basket,+(91)9152340627,3.6,8,"Shop No 5, Ground Floor, 109, Himalaya CHS LTD, Dr. R G Thadani Marg, Worli, mumbai - 400018, Podar Hospital",Gujarat,Grocery Stores
Meghsons,+(91)9152198479,4.0,487,"Marve Road, Malad West, Mumbai - 400064, Near Junction Of S V Road & Marve Road",Gujarat,Grocery Stores
Kamlesh Kirana Store,+(91)9152798743,3.5,2,"Khan Prerna Appartment, Shop No-2, Shivani Nagar, Golani Naka Waliv and Rajprabha Udyog Nagar, Vasai East, Palghar - 401208, Near Nidhi Industry",Gujarat,Grocery Stores
Kuvarji Khimraj & Company,+(91)9152851773,4.2,41,"Shop No 132 134, S V P Road, Null Bazar, Mumbai - 400003, Gol Dev Mandir (Shiv Mandir)",Gujarat,Grocery Stores
Genu Mahadev Jadhav,+(91)2223774136,5.0,1,"Shop No 25,  New Dongri Municipal Market,, Navroji Hill Road No 2, Dongri, Mumbai - 400009, New Dongri Municipal Market",Gujarat,Grocery Stores
Gauri Supermarket,+(91)9152884016,2.7,3,"Shubh Arcade  Plot No.22,Shop No 3,4,5, Sector  No.21, Kamothe, Navi Mumbai - 410206, Opposite Yashoda Hospital Nearby Khandeshwar Station",Gujarat,Grocery Stores
Thane Super Market,+(91)9152226996,3.8,40,"Prayag Tirth, Veer Savarkar Marg, Naupada-thane West, Thane - 400602, Opposite Lokmanya Society",Gujarat,Grocery Stores
Janta Supreme Punjabi Atta,+(91)9152334709,4.3,15,"Shop No 36, Sanmukhanand Hall Road, Sion Koliwada, Mumbai - 400022, Behind Hazara Hotel, Near Mini Punjab Hotel",Gujarat,Grocery Stores
Sahakar Dhanya Bhandar,+(91)2221635003,4.1,217,"Shop No 3 ,, Poorva Megh Chs, Mulund East, Mumbai - 400081, Junction Of L.T Road & G V Scheme No 2",Gujarat,Grocery Stores
Shree Ganesh Stores,+(91)9769858893,4.7,16,"Shop No 5, Ismail Kureshi Compound, New Link Road, Behram Baug-Jogeshwari West, Mumbai - 400102, Opposite Three Star Bakery,Near Mahatma Gandhi School",Gujarat,Grocery Stores
Jain Traders,+(91)02228633569,4.0,136,"Shop No 10, Parshava Kunj Building, Mathurdas Road, Kandivali West, Mumbai - 400067, Next to Hari Om Hotel",Gujarat,Grocery Stores
Sky Home Super Market,+(91)2226771155,4.2,78,"Shop No 4, B Wing, Dev Prestige, Veera Desai Road, Andheri West, Mumbai - 400058, Near Corporation Bank",Gujarat,Grocery Stores
Chetna Stores,+(91)8806882220,4.7,17,"Plot No 52, Chandan Building, Kansai Road, Ambernath, Thane - 421501, Near Kansai Section",Gujarat,Grocery Stores
Laxmi Super Market,+(91)2226352792,3.9,80,"Mahada Building No 40, Shop No 3, New Link Road, Andheri West, Mumbai - 400053, Opposite Shriji Hotel",Gujarat,Grocery Stores
Laxmi Super Market,+(91)2226352792,3.9,80,"Mahada Building No 40, Shop No 3, New Link Road, Andheri West, Mumbai - 400053, Opposite Shriji Hotel",Gujarat,Grocery Stores
Anant Foodland,+(91)2226202291,4.2,286,"Shop No 1, Juhu Church Road, Juhu, Mumbai - 400049, Near Juhu Gymkhana Club and Juhu Bus Depo",Gujarat,Grocery Stores
Satyam Enterprises,+(91)2223483288,4.3,56,"110 & 111, Clive Road,, Dana Bandar, Mumbai - 400009, Opposite Patwa Chambers, Near Masjid Station East",Gujarat,Grocery Stores
Home Foods Supermarket,+(91)2266744200,3.8,205,"Kohinoor City Mall, G43,, Premier Road, Kurla West, Mumbai - 400070, Opposite Don Bosco College",Gujarat,Grocery Stores
Big Mart The Vegetable Shop..,+(91)8828723306,5.0,2,"Shop No 4, Shantaram Guruji Appartment,Plot No.A46, Sector 27, Seawoods, Navi Mumbai - 400706, Near- Presentation School",Gujarat,Grocery Stores
Arihant Super Market,+(91)9324359292,4.0,137,"Shop No.1/2,Vishwashanti Building, 7, Golibar Road, Santacruz East, Mumbai - 400055, Opposite Food King Hotel",Gujarat,Grocery Stores
Om Shri Arihant Store,+(91)8369309933,4.8,42,"Shop No 2 Suvidha Building, R R T Road, Mulund West, Mumbai - 400080, Opposite Vibhutee Saree",Gujarat,Grocery Stores
Milap Traders,+(91)2227801572,3.9,8,"C 56, APMC Market, Vashi, Navi Mumbai - 400703, Apmc Masala Market",Gujarat,Grocery Stores
Champion Foods,+(91)9833372840,4.3,424,"69 Kanchan Palace, M G Road, Vile Parle East, Mumbai - 400057, Near Pritam Hotel",Gujarat,Grocery Stores
Super Janta Store,+(91)2225703131,4.1,10,"Shop No 48 Prathmesh Galaxy, Hiranandani-Powai, Mumbai - 400076, OppositeVijay Vihar Building",Gujarat,Grocery Stores
Milap Traders,+(91)2227801572,3.9,8,"C 56, APMC Market, Vashi, Navi Mumbai - 400703, Apmc Masala Market",Gujarat,Grocery Stores
