NAME,CONTACT NO,RATING,RATING COUNT,ADDRESS,LOCATION,CATEGORY
D Mart,+(91)8028435555,4.3,9116,"No.1/2, Kanakapura Road, Bangalore - 560062",Bangalore,Grocery Stores
Metro Cash & Carry India Pv..,18602662010,4.1,8788,"No.18/1 & 18/2, A1, Konanakunte, Uttarahalli, Kanakapura Road, Bangalore - 560062, Opposite Khoday Breweries Ltd",Bangalore,Grocery Stores
Big Bazaar (Lido Shopping M..,+(91)08040981414,3.9,7628,"No.1/1, Lido Mall, Ulsoor, Bangalore - 560008, Near Trinity Circle",Bangalore,Grocery Stores
Big Bazaar,+(91)08040959520,3.8,6696,"No.721, Puttenahalli Main Road, Jp Nagar 7th Phase, Bangalore - 560078, Near Brigade Millennium Apartment",Bangalore,Grocery Stores
Big Bazaar,+(91)7093097850,3.7,6319,"Bellandur Gate, Ambalipura Village, Sarjapur Road, Bangalore - 560034, Opposite Spring Field Apartment",Bangalore,Grocery Stores
Big Bazaar (Royal Meenakshi..,18002662255,3.9,5224,"No. 448,, Bannerghatta Road, Bangalore - 560076, Opposite IIMB University",Bangalore,Grocery Stores
Big Bazaar,+(91)8067266366,4.0,5148,"No.LG 29, Pheonix Market City Mall, Whitefield Road, Mahadevapura, Bangalore - 560048, Opposite BBMP Office",Bangalore,Grocery Stores
Metro Cash & Carry India Pv..,18602662010,4.1,4615,"Municipal No.1/1-1, 1/1-2, 1/1-3, Eta Namma Mall, Hosakere Road, Ward No.121, Binnypete, Bangalore - 560026, Opposite Banana Market",Bangalore,Grocery Stores
Spar Hyper Market (Mantri S..,+(91)08039378500,4.2,4589,"No.1, Lower Ground Floor, Mantri Square Mall, Malleswaram, Bangalore - 560003",Bangalore,Grocery Stores
Swaraj Hypermarket,+(91)8026844466,3.9,4131,"1st A Cross, Cashies Layout, Chocolate Factory Road, Tavarekere Blr, Bangalore - 562130",Bangalore,Grocery Stores
Spar Hyper Market,+(91)8025507040,4.1,3735,"No.30,3rd Floor Oasis Centre Salarpuria Tech Point, 100 Feet Ring Road ,Intermediate Ring Road, Koramangala, Bangalore - 560034, Opposite Sony World",Bangalore,Grocery Stores
All Season Super Market,+(91)9738123088,3.7,3663,"All Season Super Market, Panathur Main Road, Kadubeesanahalli, Bangalore - 560103",Bangalore,Grocery Stores
Village Hyper Market,+(91)8040978285,3.9,2863,"Belair Annexe, Varthur Road, Marathahalli, Bangalore - 560037, Next to Purva Riviera Apartment & Spice Garden Restaurant",Bangalore,Grocery Stores
Star Bazaar,+(91)9029002233,4.1,2657,"No.18/2, Gopalan The Archade Mall, Mysore Road, Rajarajeshwari Nagar, Bangalore - 560098, Near Gopalan Cinemas",Bangalore,Grocery Stores
Big Bazaar,+(91)8046329077,3.9,2533,"G T World Mall, Plot No 92, Magadi Road, Bangalore - 560023, Next to Prasanna Theatre, Opposite Magadi Road Police Station",Bangalore,Grocery Stores
Top In Town,+(91)9535673563,3.9,2332,"No.98/2, 27th Main, BTM Layout 1st Stage, Bangalore - 560068, Near Axa Building",Bangalore,Grocery Stores
Star Bazaar,+(91)9029002233,3.9,2322,"I S R O Layout, Hanumanthappa Layout, Sultanpalya, Hebbal, Bengaluru, Sultranpalya Bus Stop Road, Sultanpalya-Hebbal, Bangalore - 560032",Bangalore,Grocery Stores
Shopper Choice,+(91)08028486003,3.8,2298,"No. 1251, Hoysala Circle, Kengeri Satelite Town, Bangalore - 560060, Opposite Medplus",Bangalore,Grocery Stores
Lulu Value Mart,+(91)8028465690,4.1,2256,"No.11, K G Arcade, Grubbi Cross, Hennu Bagalur Main Road, Kothanur, Bangalore - 560077, Near Goldsmith Apartment",Bangalore,Grocery Stores
Star Market,+(91)9029002233,3.9,2223,"Aashvi, Ambedkar Nagar, Bengaluru, Channasandra Main Road, Whitefield, Bangalore - 560067",Bangalore,Grocery Stores
Ample Mart,+(91)9686047299,3.8,1876,"No.10/9, Hulimavu Road, Sugama Layout, Akshya Nagar, Bangalore - 560016, Near DLF New Town",Bangalore,Grocery Stores
Freshco Hypermarket,+(91)08022577888,3.9,1836,"No. 34, Reliable Residency, Haralur-hsr Layout, Bangalore - 560102, Near Dominos and Indian Oil Petrol Bunk",Bangalore,Grocery Stores
Royalmart Supermarket,+(91)8023725566,4.1,1815,"No 45 Ammaji Arcade, Bhuvaneshwari Nagar T Dasarahalli, Bangalore, Bengaluru, Hesarghatta Main Road, Hessargatta Road, Bangalore - 560057",Bangalore,Grocery Stores
