NAME,CONTACT NO,RATING,RATING COUNT,ADDRESS,LOCATION,CATEGORY
Bachat Bazaar,+(91)9152385010,4.8,61,"G-27/206-207, Rohini Sector 3, Rohini, Delhi - 110085, Near St Giri Senior Secondary School",Gurgaon,Grocery Stores
A D Overseas,+(91)9152882841,3.6,14,"Shop No-14/36, Qutab Road Sadar Bazar, Sadar Bazar, Delhi - 110006",Gurgaon,Grocery Stores
Food Centre,+(91)9152516375,4.4,39,"3965/A Naya Bazar, Opp., Syndicate Bank, Naya Bazar, Delhi - 110006, Near Khari Baoli Whole Sale Market",Gurgaon,Grocery Stores
Sardaran Di Hatti,+(91)9152423287,4.2,701,"FD 8, Pitampura, Delhi - 110034, Near Metro Station Pitampura & Opposite Metro Pillar Number 368",Gurgaon,Grocery Stores
(baba Dal) Gupta Trading Co..,+(91)9810100751,4.1,60,"1j/22, Arya Samaj Road, Faridabad NIT, Faridabad - 121001, Near Dayanand School",Gurgaon,Grocery Stores
Green Pure Agri Services,+(91)9152481877,5.0,1,"J-73, Dda Market, Jahangir Puri, Delhi - 110033, Near Jahangir Puri Metro Station",Gurgaon,Grocery Stores
Rameswar Dayal & Sons,+(91)9152131828,5.0,1,"B-69/2, Gali Number-7, Shastri Park, Delhi - 110053, Near Jain Mandir",Gurgaon,Grocery Stores
Debon,+(91)9152915517,4.1,503,"D 1, Alaknanda Shopping Complex, Noida Sector 28, Noida - 201303",Gurgaon,Grocery Stores
Kolo,+(91)9958381009,4.0,31,"D-80, Noida Sector 5, Noida Sector 2, noida - 201301",Gurgaon,Grocery Stores
Shardha Traders,+(91)9152840028,4.7,9,"Shop No-B-102, Gali No-1, Barwala, Delhi - 110039, Near Gate No-1, Jain Colony",Gurgaon,Grocery Stores
Jigyasa Store,+(91)7011973896,2.4,5,"Shop No-1, Shri Radhe Lal Market, Sector 135, Noida - 201304, Near Shivalik Bank",Gurgaon,Grocery Stores
Top 10 Bazar,+(91)8745074652,3.5,2,"A 96 / 2, Jagatpur Road, Wazirabad, Delhi - 110084, Near Sachdeva Convnent School / Baba Dairy",Gurgaon,Grocery Stores
M R Traders,+(91)9210480628,4.0,10,"D-1/188. Ground Floor, Main Market, New Kondli, Delhi - 110096, Opposite Hero Showroom",Gurgaon,Grocery Stores
Indian Fresh Vegetable And ..,+(91)9152488610,4.3,4,"LGF-6, Reliance Plaza, Sector 4b,, Vasundhara Sector 4, Ghaziabad - 201012, Near Ajnara Apartment",Gurgaon,Grocery Stores
Megrocery,+(91)9152823660,3.5,2,"Shop No. K2/6 KLJ Society, Sector -77, Faridabad Sector 77, Faridabad - 121004",Gurgaon,Grocery Stores
Street Mart   Pharmacy,+(91)114122028,2.9,8,"Shop-2, Hyde Park Crown Market, Sector 78, Noida - 201305, Hyde Park",Gurgaon,Grocery Stores
Babu Store,+(91)9152473541,3.6,6,"612 G Nyay Khand -3rd, Indirapuram, Ghaziabad - 201014, Near Vivekanand School",Gurgaon,Grocery Stores
Bhadani Nuts & Dry Fruits,+(91)9152663665,4.5,7,"Shop No. 9F,  Ground Floor, Niho Scottish Market, Ahinsa Khand 2-Indirapuram, Ghaziabad - 201014",Gurgaon,Grocery Stores
Earth Mega Mart,+(91)9355181021,3.4,7,"Shop No 1, Shivam Plaza Delta 1, Delta 1, Noida - 201310, Near Gate No 1 and Community Center Delta 1",Gurgaon,Grocery Stores
